605;TTv;221,821
814;DP;222,822
961;PIR;223,823
260;NLOT1;224,824
268;NLOT2;225,825
1139;NLOT3;226,826
639;COAa;227,827
655;COApl;228,828
663;COApm;229,829
788;PAA;230,830
566;TR;231,831
1089;HPF;232,832
382;CA1;233,833
423;CA2;234,834
463;CA3;235,835
10703;DG-mo;236,836
10704;DG-po;237,837
632;DG-sg;238,838
982;FC;239,839
19;IG;240,840
1121;ENTl1;241,841
20;ENTl2;242,842
52;ENTl3;243,843
139;ENTl5;244,844
28;ENTl6a;245,845
526;ENTm1;246,846
543;ENTm2;247,847
664;ENTm3;248,848
727;ENTm5;249,849
743;ENTm6;250,850
843;PAR;251,851
1037;POST;252,852
1084;PRE;253,853
502;SUB;254,854
703;CTXsp;255,855
583;CLA;256,856
952;EPd;257,857
966;EPv;258,858
131;LA;259,859
303;BLAa;260,860
311;BLAp;261,861
451;BLAv;262,862
327;BMAa;263,863
334;BMAp;264,864
780;PA;265,865
477;STR;266,866
672;CP;267,867
56;ACB;268,868
998;FS;269,869
754;OT;270,870
250;LSc;271,871
258;LSr;272,872
266;LSv;273,873
310;SF;274,874
333;SH;275,875
23;AAA;276,876
292;BA;277,877
544;CEAc;278,878
551;CEAl;279,879
559;CEAm;280,880
1105;IA;281,881
403;MEA;282,882
803;PAL;283,883
1022;GPe;284,884
1031;GPi;285,885
342;SI;286,886
298;MA;287,887
564;MS;288,888
596;NDB;289,889
581;TRS;290,890
351;BST;291,891
287;BAC;292,892
549;TH;293,893
629;VAL;294,894
685;VM;295,895
718;VPL;296,896
725;VPLpc;297,897
733;VPM;298,898
741;VPMpc;299,899
414;SPFm;300,900
422;SPFp;301,901
609;SPA;302,902
1044;PP;303,903
1072;MGd;304,904
1079;MGv;305,905
1088;MGm;306,906
218;LP;307,907
1020;PO;308,908
1029;POL;309,909
325;SGN;310,910
255;AV;311,911
1096;AMd;312,912
1104;AMv;313,913
64;AD;314,914
1120;IAM;315,915
1113;IAD;316,916
155;LD;317,917
59;IMD;318,918
362;MD;319,919
366;SMT;320,920
1077;PR;321,921
149;PVT;322,922
15;PT;323,923
181;RE;324,924
189;RH;325,925
599;CM;326,926
907;PCN;327,927
575;CL;328,928
930;PF;329,929
262;RT;330,930
27;IGL;331,931
178;LGv;332,932
321;SubG;333,933
483;MH;334,934
186;LH;335,935
1097;HY;336,936
390;SO;337,937
332;ASO;338,938
38;PVH;339,939
30;PVa;340,940
118;PVi;341,941
223;ARH;342,942
72;ADP;343,943
263;AVP;344,944
272;AVPV;345,945
830;DMH;346,946
452;MEPO;347,947
523;MPO;348,948
763;OV;349,949
914;PD;350,950
1109;PS;351,951
126;PVp;352,952
133;PVpo;353,953
347;SBPV;354,954
286;SCH;355,955
338;SFO;356,956
689;VLPO;357,957
88;AHN;358,958
210;LM;359,959
732;Mmme;360,960
525;SUM;361,961
1126;TMd;362,962
1;TMv;363,963
515;MPN;364,964
980;PMd;365,965
1004;PMv;366,966
63;PVHd;367,967
693;VMH;368,968
946;PH;369,969
194;LHA;370,970
226;LPO;371,971
356;PST;372,972
364;PSTN;373,973
173;RCH;374,974
470;STN;375,975
614;TU;376,976
797;ZI;377,977
804;FF;378,978
10671;ME;379,979
313;MB;380,980
851;SCop;381,981
842;SCsg;382,982
834;SCzo;383,983
811;ICc;384,984
820;ICd;385,985
828;ICe;386,986
580;NB;387,987
271;SAG;388,988
874;PBG;389,989
460;MEV;390,990
381;SNr;391,991
749;VTA;392,992
246;RR;393,993
128;MRN;394,994
26;SCdg;395,995
42;SCdw;396,996
17;SCiw;397,997
10;SCig;398,998
795;PAG;399,999
50;PRC;400,1000
67;INC;401,1001
587;ND;402,1002
215;APN;403,1003
531;MPT;404,1004
628;NOT;405,1005
634;NPC;406,1006
706;OP;407,1007
1061;PPT;408,1008
616;CUN;409,1009
214;RN;410,1010
35;III;411,1011
975;EW;412,1012
115;IV;413,1013
757;VTN;414,1014
231;AT;415,1015
66;LT;416,1016
75;DT;417,1017
58;MT;418,1018
374;SNc;419,1019
1052;PPN;420,1020
12;IF;421,1021
100;IPN;422,1022
197;RL;423,1023
591;CLI;424,1024
872;DR;425,1025
771;P;426,1026
612;NLL;427,1027
7;PSV;428,1028
867;PB;429,1029
123;KF;430,1030
122;POR;431,1031
105;SOCm;432,1032
114;SOCl;433,1033
280;B;434,1034
880;DTN;435,1035
898;PCG;436,1036
931;PG;437,1037
1093;PRNc;438,1038
318;SG;439,1039
534;SUT;440,1040
574;TRN;441,1041
621;V;442,1042
679;CS;443,1043
147;LC;444,1044
162;LDT;445,1045
604;NI;446,1046
146;PRNr;447,1047
238;RPO;448,1048
350;SLC;449,1049
358;SLD;450,1050
354;MY;451,1051
207;AP;452,1052
96;DCO;453,1053
101;VCO;454,1054
711;CU;455,1055
1039;GR;456,1056
903;ECU;457,1057
642;NTB;458,1058
651;NTS;459,1059
429;SPVC;460,1060
437;SPVI;461,1061
445;SPVO;462,1062
653;VI;463,1063
661;VII;464,1064
576;ACVII;465,1065
939;AMBd;466,1066
143;AMBv;467,1067
839;DMX;468,1068
1048;GRN;469,1069
372;ICB;470,1070
83;IO;471,1071
